Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
Summary of the Judgment,62005CJ0335_SUM,,,,,,,,6/7/2007,Court of Justice,,
Summary of the Judgment,62005CJ0178_SUM,,,,,,,,6/7/2007,Court of Justice,,
Summary of the Judgment,62004CJ0156_SUM,,,,,,,,6/7/2007,Court of Justice,,
Summary of the Judgment,62005CJ0362_SUM,,,,,,,,6/7/2007,Court of Justice,,
Summary of the Judgment,62006CJ0050_SUM,,,,,,,,6/7/2007,Court of Justice,,
Summary of the Judgment,62005CJ0254_SUM,,,,,,,,6/7/2007,Court of Justice,,
Summary of the Judgment,62006CJ0076_SUM,,,,,,,,6/7/2007,Court of Justice,,
Judgment of the Court (First Chamber) of 7 June 2007. # Commission of the European Communities v Hellenic Republic. # Failure of a Member State to fulfil obligations - Directive 83/182/EEC - Temporary import of means of transport - Tax exemptions - Normal residence in a Member State. # Case C-156/04.,62004CJ0156,,,,,ECLI:EU:C:2007:316,Taxation,,6/7/2007,Court of Justice,,European Court Reports 2007 I-04129
Judgment of the Court (Third Chamber) of 7 June 2007. # Commission of the European Communities v Kingdom of the Netherlands. # Failure of a Member State to fulfil obligations - Citizenship of the Union - Freedom of movement for nationals of the Member States -Directive 64/221/EEC - Public policy - National legislation concerning expulsion - Criminal conviction - Expulsion. # Case C-50/06.,62006CJ0050,,,,,ECLI:EU:C:2007:325,Free movement of workers,,6/7/2007,Court of Justice,,European Court Reports 2007 I-04383
"Judgment of the Court (Grand Chamber) of 5 June 2007. # Klas Rosengren and Others v Riksåklagaren. # Reference for a preliminary ruling: Högsta domstolen - Sweden. # Free movement of goods - Articles 28 EC, 30 EC and 31 EC - National provisions prohibiting the importation of alcoholic beverages by private individuals - Rule relating to the existence and operation of the Swedish monopoly on sales of alcoholic beverages - Assessment - Measure contrary to Article 28 EC - Justification on grounds of protection of the health and life of humans - Review of proportionality. # Case C-170/04.",62004CJ0170,,,,,ECLI:EU:C:2007:313,"Free movement of goods, Quantitative restrictions, Measures having equivalent effect",,6/5/2007,Court of Justice,,European Court Reports 2007 I-04071
Summary of the Judgment,62004CJ0170_SUM,,,,,,,,6/5/2007,Court of Justice,,
Summary of the Judgment,62005CJ0045_SUM,,,,,,,,5/24/2007,Court of Justice,,
Judgment of the Court (Fourth Chamber) of 24 May 2007. # Winfried L. Holböck v Finanzamt Salzburg-Land. # Reference for a preliminary ruling: Verwaltungsgerichtshof - Austria. # Free movement of capital - Freedom of establishment - Income tax - Distribution of dividends - Income from capital originating in a non-member country. # Case C-157/05.,62005CJ0157,,,,,ECLI:EU:C:2007:297,Free movement of capital,,5/24/2007,Court of Justice,,European Court Reports 2007 I-04051
Summary of the Judgment,62006CJ0375_INF,,,,,,,,5/24/2007,Court of Justice,,
Summary of the Judgment,62006CJ0359_INF,,,,,,,,5/24/2007,Court of Justice,,
Summary of the Judgment,62005CJ0157_SUM,,,,,,,,5/24/2007,Court of Justice,,
Summary of the Judgment,62006CJ0043_INF,,,,,,,,5/24/2007,Court of Justice,,
Summary of the Judgment,62005CJ0361_INF,,,,,,,,5/24/2007,Court of Justice,,
Summary of the Judgment,62006CJ0364_INF,,,,,,,,5/24/2007,Court of Justice,,
Summary of the Judgment,62006CJ0376_INF,,,,,,,,5/24/2007,Court of Justice,,
Summary of the Judgment,62005CJ0394_INF,,,,,,,,5/24/2007,Court of Justice,,
"Judgment of the Court (Seventh Chamber) of 24 May 2007. # Commission of the European Communities v Kingdom of Spain. # Failure by a Member State to fulfil its obligations - Waste management - Directives 75/442/EEC and 1999/31/EC - Illegal and uncontrolled waste tips - Waste tips at Níjar, Hoyo de Miguel and Cueva del Mojón. # Case C-361/05.",62005CJ0361,,,,,ECLI:EU:C:2007:298,"Waste, Environment, Approximation of laws",,5/24/2007,Court of Justice,,European Court Reports 2007 I-00071*
"Judgment of the Court (Sixth Chamber) of 24 May 2007. # Commission of the European Communities v Portuguese Republic. # Failure by a Member State to fulfil its obligations - Directive 85/384/EEC - Architects - Mutual recognition of diplomas, certificates and other evidence of formal qualifications - Requirement to sit an entrance exam for the institute of architects. # Case C-43/06.",62006CJ0043,,,,,ECLI:EU:C:2007:300,"Free movement of workers, Freedom to provide services, Right of establishment",,5/24/2007,Court of Justice,,European Court Reports 2007 I-00073*
Judgment of the Court (Seventh Chamber) of 24 May 2007. # Commission of the European Communities v Republic of Austria. # Failure by a Member State to fulfil its obligations - Directive 2001/45/EC - Social policy - Worker protection - Use of work equipment - Minimum health and safety requirements. # Case C-359/06.,62006CJ0359,,,,,ECLI:EU:C:2007:305,Social Policy,,5/24/2007,Court of Justice,,European Court Reports 2007 I-00075*
Judgment of the Court (Sixth Chamber) of 24 May 2007. # Commission of the European Communities v Grand Duchy of Luxemburg. # Failure of a Member State to fulfil its obligations - Directive 2002/15/EC - Organisation of the working time of persons performing mobile road transport activities - Failure to transpose within the prescribed period. # Case C-364/06.,62006CJ0364,,,,,ECLI:EU:C:2007:306,"Transport, Social Policy",,5/24/2007,Court of Justice,,European Court Reports 2007 I-00076*
Judgment of the Court (Sixth Chamber) of 24 May 2007. # Commission of the European Communities v Portuguese Republic. # Failure of Member State to fulfil obligations - Directive 2003/105/EC - Protection of workers - Control of major-accident hazards involving dangerous substances - Failure to transpose within the prescribed period. # Case C-375/06.,62006CJ0375,,,,,ECLI:EU:C:2007:307,Environment,,5/24/2007,Court of Justice,,European Court Reports 2007 I-00077*
"Judgment of the Court (Fifth Chamber) of 24 May 2007. # Commission of the European Communities v Italian Republic. # Failure of a Member State to fulfil its obligations - Directive 2000/53/EC - End-of-life vehicles - Articles 3(5), 5(1), 7(2) and 8(3) and (4) - Defective transposition. # Case C-394/05.",62005CJ0394,,,,,ECLI:EU:C:2007:299,"Environment, Waste",,5/24/2007,Court of Justice,,European Court Reports 2007 I-00072*
Judgment of the Court (Sixth Chamber) of 24 May 2007. # Commission of the European Communities v Portuguese Republic. # Failure of Member State to fulfil obligations - Directive 2001/42/EC - Assessment of the effects of certain plans and programmes on the environment - Failure to transpose within the prescribed period. # Case C-376/06.,62006CJ0376,,,,,ECLI:EU:C:2007:308,Environment,,5/24/2007,Court of Justice,,European Court Reports 2007 I-00078*
"Judgment of the Court (Fourth Chamber) of 10 May 2007. # SGL Carbon AG v Commission of the European Communities. # Appeals - Competition - Agreements, decisions and concerted practices - Guidelines on the method of setting fines - Leniency Notice - Principle non bis in idem. # Case C-328/05 P.",62005CJ0328,,,,,ECLI:EU:C:2007:277,"Competition, Agreements, decisions and concerted practices, Concerted practices",,5/10/2007,Court of Justice,,European Court Reports 2007 I-03921
"Judgment of the Court (Second Chamber) of 10 May 2007. # The Queen on the application of Thames Water Utilities Ltd v South East London Division, Bromley Magistrates' Court (District Judge Carr). # Reference for a preliminary ruling: High Court of Justice (England & Wales), Queen's Bench Division (Administrative Court) - United Kingdom. # Waste - Directives 75/442/EEC, 91/156/EEC and 91/271/EEC - Waste water which escapes from a sewerage network - Classification - Scope of Directives 75/442/EEC and 91/271/EEC. # Case C-252/05.",62005CJ0252,,,,,ECLI:EU:C:2007:276,"Waste, Environment",,5/10/2007,Court of Justice,,European Court Reports 2007 I-03883
Summary of the Judgment,62004CJ0508_SUM,,,,,,,,5/10/2007,Court of Justice,,
Judgment of the Court (Fourth Chamber) of 10 May 2007. # Commission of the European Communities v Republic of Austria. # Failure of a Member State to fulfil obligations - Directive 92/43/EEC - Conservation of natural habitats and of wild fauna and flora - Measures transposing the directive. # Case C-508/04.,62004CJ0508,,,,,ECLI:EU:C:2007:274,Environment,,5/10/2007,Court of Justice,,European Court Reports 2007 I-03787
Summary of the Judgment,62005CJ0328_SUM,,,,,,,,5/10/2007,Court of Justice,,
Summary of the Judgment,62005CJ0252_SUM,,,,,,,,5/10/2007,Court of Justice,,
Summary of the Judgment,62004CJ0391_SUM,,,,,,,,5/10/2007,Court of Justice,,
Summary of the Judgment,62006CJ0407_INF,,,,,,,,5/10/2007,Court of Justice,,
Judgment of the Court (Seventh Chamber) of 10 May 2007. # Commission of the European Communities v Kingdom of Belgium. # Failure of a Member State to fulfil obligations - Protection of workers - Major accident hazards involving dangerous substances - Failure to transpose within the prescribed period. # Case C-407/06.,62006CJ0407,,,,,ECLI:EU:C:2007:279,Social Policy,,5/10/2007,Court of Justice,,European Court Reports 2007 I-00066*
Summary of the Judgment,62006CJ0391_INF,,,,,,,,5/3/2007,Court of Justice,,
Summary of the Judgment,62005CJ0303_SUM,,,,,,,,5/3/2007,Court of Justice,,
Summary of the Judgment,62005CJ0386_SUM,,,,,,,,5/3/2007,Court of Justice,,
Judgment of the Court (Seventh Chamber) of 3 May 2007. # Commission of the European Communities v Ireland. # Failure of a Member State to fulfil obligations - Directive 2003/4/EC - Freedom of access to information - Environmental information - Failure to transpose within the prescribed period. # Case C-391/06.,62006CJ0391,,,,,ECLI:EU:C:2007:265,Environment,,5/3/2007,Court of Justice,,European Court Reports 2007 I-00065*
Judgment of the Court (Third Chamber) of 26 April 2007.#Alcon Inc. v European Union Intellectual Property Office.#Case C-412/05 P.,62005CJ0412,,,,,ECLI:EU:C:2007:252,"Trade marks, Intellectual, industrial and commercial property",,4/26/2007,"Kokott, Court of Justice",,European Court Reports 2007 I-03569
"Judgment of the Court (Third Chamber) of 26 April 2007. # Commission of the European Communities v Italian Republic. # Failure of a Member State to fulfil obligations - Waste management - Directives 75/442/EEC, 91/689/EEC and 1999/31/EC. # Case C-135/05.",62005CJ0135,,,,,ECLI:EU:C:2007:250,"Approximation of laws, Waste, Environment",,4/26/2007,Court of Justice,,European Court Reports 2007 I-03475
Summary of the Judgment,62005CJ0412_SUM,,,,,,,,4/26/2007,Court of Justice,,
Judgment of the Court (Fourth Chamber) of 26 April 2007. # Georgios Alevizos v Ypourgos Oikonomikon. # Reference for a preliminary ruling: Symvoulio tis Epikrateias - Greece. # Freedom of movement for workers - Directive 83/183/EEC - Article 6 - Definitive import into one Member State of a private vehicle from another Member State - Member of the armed forces of one Member State posted temporarily to another Member State for official reasons - Concept of ‘normal residence’. # Case C-392/05.,62005CJ0392,,,,,ECLI:EU:C:2007:251,"Free movement of workers, Taxation",,4/26/2007,Court of Justice,,European Court Reports 2007 I-03505
Judgment of the Court (Second Chamber) of 26 April 2007. # Commission of the European Communities v Republic of Finland. # Failure of a Member State to fulfil obligations - Public supply contract for catering equipment - Article 28 EC - Quantitative restrictions on imports - Measures having equivalent effect - Principle of non-discrimination - Obligation of transparency. # Case C-195/04.,62004CJ0195,,,,,ECLI:EU:C:2007:248,"Free movement of goods, Quantitative restrictions, Measures having equivalent effect",,4/26/2007,Court of Justice,,European Court Reports 2007 I-03351
Summary of the Judgment,62005CJ0392_SUM,,,,,,,,4/26/2007,Court of Justice,,
Summary of the Judgment,62005CJ0135_SUM,,,,,,,,4/26/2007,Court of Justice,,
Summary of the Judgment,62004CJ0348_SUM,,,,,,,,4/26/2007,Court of Justice,,
Summary of the Judgment,62004CJ0195_SUM,,,,,,,,4/26/2007,Court of Justice,,
Summary of the Judgment,62004CJ0523_SUM,,,,,,,,4/24/2007,Court of Justice,,
Judgment of the Court (First Chamber) of 19 April 2007. # Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM) v Celltech R&D Ltd. # Appeal - Community trade mark - Article 7(1)(b) and (c) of Regulation (EC) No 40/94 - Application for word mark CELLTECH - Absolute grounds for refusal - Lack of distinctive character - Descriptive character. # Case C-273/05 P.,62005CJ0273,,,,,ECLI:EU:C:2007:224,"Intellectual, industrial and commercial property, Trade marks",,4/19/2007,"Sharpston, Court of Justice",,European Court Reports 2007 I-02883
Judgment of the Court (Third Chamber) of 19 April 2007. # Velvet & Steel Immobilien und Handels GmbH v Finanzamt Hamburg-Eimsbüttel. # Reference for a preliminary ruling: Finanzgericht Hamburg - Germany. # Sixth VAT Directive - Exemptions - Article 13B(d)(2) - Concept of assumption of obligations - Assumption of the obligation to renovate a property - Refusal of exemption. # Case C-455/05.,62005CJ0455,,,,,ECLI:EU:C:2007:232,"Taxation, Value added tax",,4/19/2007,Court of Justice,,European Court Reports 2007 I-03225
Judgment of the Court (Second Chamber) of 19 April 2007. # Holcim (Deutschland) AG v Commission of the European Communities. # Appeals - Non-contractual liability of the Community - Article 85 of the EC Treaty (now Article 81 EC) - Reimbursement of bank guarantee charges. # Case C-282/05 P.,62005CJ0282,,,,,ECLI:EU:C:2007:226,Non-contractual liability,,4/19/2007,Court of Justice,,European Court Reports 2007 I-02941
Summary of the Judgment,62006CJ0063_SUM,,,,,,,,4/19/2007,Court of Justice,,
"Judgment of the Court (Fifth Chamber) of 19 April 2007. # Commission of the European Communities v Kingdom of Spain. # Failure by a Member State to fulfil its obligations - Directive 91/271/EEC - Pollution and nuisance - -Treatment of urban waste water-Agglomeration of Sueca, its coastal districts and certain municipalities of La Ribera - Discharge in a sensitive area without treatment. # Case C-219/05.",62005CJ0219,,,,,ECLI:EU:C:2007:223,"Pollution, Environment",,4/19/2007,Court of Justice,,European Court Reports 2007 I-00056*
